# United Kingdom
# from http://www.rjruss.info/2010/12/free-countries-of-world-in-polygon-kml.html
-3.04740536 56.44937124
-3.12357642 56.42529003
-3.21442359 56.38394888
-3.30997331 56.36348501
-3.19801632 56.36606883
-3.08704118 56.38906485
-2.88514136 56.3974881
-2.65275245 56.31826813
-2.67424984 56.25341421
-2.76757748 56.20215119
-2.97978675 56.19408967
-3.17822425 56.0801173
-3.26775367 56.04505484
-3.36226986 56.02763988
-3.48040219 56.03280752
-3.69511776 56.06334829
-3.78903968 56.09520681
-3.70416114 56.04314281
-3.60783627 56.01601268
-3.04874895 55.95193391
-3.01508175 55.95860017
-2.83684974 56.02624462
-2.59931902 56.02727814
-2.14709856 55.90299632
-2.01684811 55.80793753
-1.83027035 55.67174429
-1.728752 55.61856924
-1.6553973 55.57038097
-1.61015459 55.49811148
-1.52258887 55.25952139
-1.42264665 55.026409
-1.29175025 54.77386628
-1.23242571 54.70368968
-1.15439429 54.65449372
-0.75932797 54.54142569
-0.67137468 54.5039086
-0.51812822 54.39512971
-0.37035946 54.27921947
-0.23284848 54.1901293
-0.08435625 54.11804068
-0.15631568 54.08062694
-0.20556332 54.02171581
-0.1687697 53.94166901
-0.1082566 53.86518789
0.01057336 53.7428181
0.11534732 53.6092862
0.07671919 53.62944001
0.03607568 53.64055044
-0.01942481 53.63719147
-0.0737109 53.64365103
-0.17383399 53.68545726
-0.27002967 53.73677196
-0.46136166 53.7161789
-0.56766008 53.72540314
-0.65990251 53.72400788
-0.48502947 53.69439728
-0.29369748 53.69233023
0.12831811 53.46826122
0.27099674 53.33547862
0.35579776 53.15995962
0.29810103 53.08110139
0.2081582 53.03001923
0.12436486 52.97159903
0.0458942 52.90560822
0.27978173 52.80871491
0.33019209 52.81160879
0.38189436 52.82519969
0.43165877 52.85814342
0.51555545 52.93837108
0.55875695 52.96692231
0.70448449 52.97723176
0.82675093 52.97108226
0.9485006 52.95335725
1.05557417 52.95898998
1.2712716 52.92457347
1.38216922 52.8934901
1.65677778 52.75373119
1.71610233 52.67725007
1.74338749 52.57849641
1.74659142 52.46899405
1.70039269 52.3688968
1.64737267 52.27851472
1.61460982 52.16182933
1.59135542 52.11976472
1.55900597 52.08684683
1.41348514 51.99475943
1.31674686 51.95695812
1.27602583 51.97352041
1.23241092 51.97122081
1.2278634 51.9491033
1.27385542 51.90210358
1.27437219 51.84536286
1.18848596 51.80334992
1.10115278 51.78546988
0.95511519 51.80779409
0.75223351 51.72960765
0.89806441 51.68940339
0.92741662 51.6466153
0.89093306 51.57142609
0.79925907 51.53791393
0.69755985 51.52305695
0.59348351 51.51949128
0.50718387 51.50109447
0.42450158 51.46564444
