# S. Sudan
# from http://www.rjruss.info/2010/12/free-countries-of-world-in-polygon-kml.html
26.36183312 6.63530589
26.28452518 6.69902294
26.16928674 6.7817569
26.0869145 6.87213898
26.03652998 6.95523469
25.88899377 7.06491791
25.56663618 7.22870637
25.3806527 7.33337698
25.27895348 7.4275056
25.1901217 7.51933462
25.1813367 7.55721345
25.23869754 7.64899079
25.24737918 7.72456757
25.20035363 7.80789582
25.00718713 7.96486298
24.85329471 8.13753978
24.73671268 8.19154165
24.45605798 8.23944571
24.37549442 8.25846263
24.29136519 8.2914322
24.20837284 8.36912771
24.1799508 8.46111176
24.22087853 8.6082604
24.19478194 8.65337393
24.14739465 8.66562124
24.14740279 8.6656404
24.16041711 8.69626537
24.21354048 8.76781139
24.30015018 8.81424266
24.53191898 8.88689973
24.54483809 8.91485668
24.54938561 9.00678905
24.56829919 9.05172171
24.64803592 9.17907827
24.65940474 9.22992788
24.66291874 9.33813833
24.67366743 9.389298
24.69671512 9.42567821
24.76038049 9.48893016
24.78260135 9.52732575
24.79221317 9.6103181
24.78523685 9.77464916
24.81768965 9.83960643
24.9638306 9.98884797
25.00289798 10.05527802
25.01617883 10.11522268
25.01483524 10.17586498
25.02362023 10.23580964
25.06702844 10.29379059
25.10402876 10.31182567
25.21172245 10.32991242
25.28520633 10.31849193
25.79804325 10.42050121
25.85819461 10.40649689
25.88522139 10.34608714
25.8827926 10.24960725
25.89147424 10.20271088
25.91912113 10.16935375
26.00061486 10.1234134
26.05704553 10.04680309
26.08701786 10.01845856
26.16954512 9.96590363
26.5513306 9.52582713
26.65871423 9.48415009
26.76320397 9.49921377
26.97047814 9.59062938
27.07424442 9.6138321
27.79978153 9.58789053
27.88079911 9.6015978
27.88582857 9.5996419
27.99624964 9.37879976
28.0489506 9.32860836
28.84448423 9.32609879
28.82942681 9.38883804
28.83946509 9.45910599
28.93231918 9.54945051
28.97955448 9.59419974
28.97955448 9.59401419
28.99955326 9.61016307
29.12233646 9.67465526
29.24243249 9.7180893
29.47316776 9.76860301
29.55740034 9.84828807
29.60396081 9.92138439
29.6055111 10.06507071
29.63594852 10.08863516
29.6910356 10.12194062
29.95789269 10.2502532
30.0030579 10.27740917
30.47465702 9.97895193
30.7393437 9.74268728
30.7553634 9.73121511
30.769161 9.72679678
30.78311364 9.73493582
30.79489587 9.74586538
30.81417118 9.75310008
30.82703861 9.75627818
30.94031335 9.75937877
31.15446048 9.77092845
31.22489546 9.79924714
31.65489505 10.22115937
31.76429406 10.35569896
31.79204431 10.38316498
31.85426273 10.4790506
31.91994348 10.64384675
31.93296594 10.6624761
32.40415165 11.05777497
32.42079146 11.08911673
32.42544234 11.11394725
32.35423221 11.24693655
32.33883264 11.31450349
32.33578373 11.41855398
32.34989139 11.58040457
32.34493045 11.68269807
32.3430701 11.69429942
32.33841922 11.71008657
32.33531864 11.71602936
32.0722856 12.00673513
32.73674116 12.00965485
32.73829146 12.03373607
32.73767134 12.04644847
32.73565596 12.05804983
32.72309859 12.09290559
32.71581221 12.13925934
32.71534712 12.15217845
32.7162773 12.16486502
32.72015303 12.18881704
32.72046309 12.20178783
32.71979129 12.207989
32.71860274 12.21377676
32.71891279 12.21884105
32.72185835 12.22307852
33.19929691 12.21729076
33.19309574 12.13502188
33.1350631 11.94159699
33.13609663 11.8255834
33.12250573 11.6931367
33.11909509 11.68241385
33.10607263 11.65386262
33.09465213 11.63750703
33.08152632 11.62171988
33.07780562 11.61577709
33.07330977 11.60608775
33.07299971 11.59148916
33.17216678 10.8501649
33.16844608 10.83145803
33.16472538 10.81921072
33.13831872 10.77296031
33.13149743 10.7577416
33.13010217 10.74595938
33.14079919 10.73789785
33.36068241 10.65782522
33.37137943 10.65270926
33.37990604 10.64617219
33.45907433 10.55082917
33.89217451 10.19896434
33.90705733 10.18144603
33.95186079 10.07096182
33.95687341 10.05419282
33.9584237 10.02773448
33.95733849 10.0071931
33.94617639 9.94091808
33.94989709 9.91112661
33.95733849 9.89143789
33.96333296 9.86870026
33.96333296 9.86177562
33.96245446 9.85580699
