# Northern Territory
129.07714 -14.89662
129.09267 -14.90639
129.10493 -14.91856
129.1124 -14.93273
129.11027 -14.95078
129.10823 -14.96897
129.12117 -14.9573
129.14182 -14.95766
129.15473 -14.96759
129.16957 -14.97463
129.18581 -14.98454
129.18276 -15.00483
129.1801 -15.02263
129.16996 -15.0343
129.17283 -15.0586
129.18009 -15.07546
129.18518 -15.09114
129.19603 -15.10377
129.20023 -15.11966
129.19107 -15.13144
129.18166 -15.14354
129.17441 -15.15814
129.16929 -15.17431
129.15667 -15.18544
129.1511 -15.20101
129.14551 -15.21631
129.15198 -15.20171
129.16105 -15.21267
129.15032 -15.22466
129.12429 -15.22864
129.14078 -15.23487
129.16224 -15.2304
129.17356 -15.22096
129.16974 -15.20311
129.17745 -15.18738
129.17272 -15.20387
129.18164 -15.18998
129.18637 -15.17343
129.19362 -15.15487
129.20781 -15.16104
129.21932 -15.17188
129.22074 -15.19113
129.23404 -15.18397
129.22898 -15.16617
129.21462 -15.1542
129.22399 -15.14166
129.22753 -15.15815
129.23203 -15.13742
129.2372 -15.12147
129.23891 -15.10259
129.25054 -15.11185
129.26009 -15.12323
129.27539 -15.11795
129.28934 -15.10866
129.26918 -15.11053
129.25542 -15.10283
129.2452 -15.09124
129.23653 -15.07221
129.24863 -15.0582
129.25429 -15.03623
129.25071 -15.01882
129.23557 -15.0133
129.23919 -14.99436
129.2381 -14.97489
129.23311 -14.95775
129.23403 -14.93052
129.23702 -14.91186
129.2584 -14.9108
129.28093 -14.91555
129.29311 -14.92622
129.31073 -14.9237
129.29667 -14.91488
129.28109 -14.90432
129.26824 -14.89582
129.26543 -14.87559
129.27425 -14.86224
129.29221 -14.85715
129.31662 -14.85917
129.33119 -14.8656
129.34809 -14.87287
129.35892 -14.88398
129.36531 -14.89851
129.37844 -14.90684
129.37842 -14.92756
129.38591 -14.94344
129.39615 -14.95384
129.40866 -14.96641
129.42838 -14.96876
129.43605 -14.9861
129.43543 -15.0059
129.44248 -15.01901
129.45704 -15.02611
129.44739 -15.01478
129.44573 -14.99389
129.44352 -14.97556
129.43171 -14.95996
129.41802 -14.95131
129.39775 -14.94364
129.3884 -14.92988
129.3902 -14.90872
129.40284 -14.91667
129.42041 -14.91914
129.43749 -14.9223
129.45211 -14.92862
129.46662 -14.93502
129.48299 -14.94196
129.49683 -14.96634
129.50574 -14.97868
129.5148 -14.99575
129.52368 -15.0087
129.52472 -15.02845
129.53908 -15.03557
129.55597 -15.04876
129.56638 -15.05991
129.5763 -15.07361
129.58672 -15.08449
129.59551 -15.09694
129.60448 -15.1108
129.60181 -15.12931
129.58727 -15.14139
129.57305 -15.14902
129.5591 -15.15849
129.56447 -15.18072
129.56897 -15.19655
129.56971 -15.17723
129.57587 -15.1623
129.58864 -15.15391
129.6119 -15.15375
129.62323 -15.14265
129.6379 -15.13697
129.65914 -15.14054
129.67244 -15.14956
129.67273 -15.17055
129.67269 -15.19122
129.68363 -15.20241
129.69739 -15.19516
129.71929 -15.19444
129.73183 -15.20476
129.74897 -15.19955
129.73871 -15.18976
129.7329 -15.17156
129.71895 -15.16129
129.70969 -15.14841
129.70122 -15.13586
129.68479 -15.13092
129.67403 -15.12167
129.66188 -15.11021
129.65 -15.09544
129.64277 -15.08211
129.64175 -15.06295
129.64073 -15.04186
129.65378 -15.03429
129.63396 -15.03104
129.62653 -15.01088
129.61989 -14.99278
129.62321 -14.97549
129.62368 -14.95575
129.62096 -14.93495
129.62614 -14.91942
129.63683 -14.90828
129.6516 -14.90227
129.66944 -14.89837
129.65096 -14.89679
129.64217 -14.88504
129.64283 -14.85971
129.64354 -14.83785
129.66362 -14.83828
129.67864 -14.84588
129.69622 -14.84903
129.72228 -14.85199
129.7416 -14.85083
129.75681 -14.84564
129.77428 -14.84872
129.78954 -14.85405
129.80767 -14.85691
129.8285 -14.85022
129.84341 -14.84349
129.84898 -14.82807
129.8663 -14.82079
129.884 -14.82587
129.89541 -14.83554
129.90232 -14.85016
129.90042 -14.83146
129.89166 -14.81885
129.88064 -14.80962
129.86412 -14.80559
129.88088 -14.80061
129.89137 -14.7882
129.90617 -14.78294
129.92553 -14.78547
129.94341 -14.78257
129.94999 -14.79611
129.96107 -14.80615
129.98193 -14.80709
129.96563 -14.80136
129.95738 -14.78848
129.97177 -14.77774
129.97901 -14.76447
129.98882 -14.75309
129.98768 -14.7339
129.97904 -14.74868
129.97087 -14.76168
129.95512 -14.7682
129.93495 -14.77187
129.92059 -14.77876
129.90345 -14.77367
129.88366 -14.7712
129.86874 -14.77647
129.85681 -14.78538
129.84263 -14.79978
129.83587 -14.81309
129.81823 -14.81869
129.79387 -14.82089
129.77906 -14.82636
129.76049 -14.8242
129.74857 -14.81383
129.75688 -14.80159
129.77633 -14.79556
129.7847 -14.78285
129.7928 -14.77014
129.79876 -14.75572
129.78658 -14.76455
129.77451 -14.77382
129.76537 -14.78524
129.74854 -14.78882
129.73347 -14.79382
129.71799 -14.78736
