# United States
# from http://www.rjruss.info/2010/12/free-countries-of-world-in-polygon-kml.html
-80.17050147 27.20479971
-80.26245968 27.37556448
-80.37607032 27.64342927
-80.43689348 27.85054841
-80.39575904 27.79455699
-80.3555031 27.67862092
-80.18675371 27.27843863

-97.01435706 27.90163056
-97.03600949 27.89917593
-96.98764035 27.9810314
-96.97867449 28.01384593
-96.89929949 28.11745718
-96.85741574 28.13290843
-96.83976824 28.0888026
-96.92133948 28.01604218
-97.01435706 27.90163056

-96.76439816 28.15257132
-96.80111426 28.14841136
-96.75561317 28.20243907
-96.68163835 28.22969839
-96.51932268 28.33346467
-96.45312517 28.34059601
-96.41863115 28.37633027
-96.40356747 28.38157543
-96.41333432 28.33780549
-96.54389482 28.27558706
