# United States
# from http://www.rjruss.info/2010/12/free-countries-of-world-in-polygon-kml.html
# deleted Hawaii, 
-88.85565609 29.77585725
-88.82798336 29.9283544
-88.86686988 30.05671865
-88.82589047 30.00036551
-88.81258379 29.93336701
-88.8274666 29.80768993

-89.22395403 30.08405549
-89.22044003 30.03759837
-89.26945513 30.06072358
-89.34200884 30.06284231
-89.31004696 30.07870698
-89.28764523 30.09418407
-89.27648312 30.11082388
-89.18467994 30.16867565
-89.21067318 30.12622346
-89.22395403 30.08405549

-88.5581032 30.2159079
-88.57066057 30.20479747
-88.65923397 30.22559724
-88.71310666 30.24492422
-88.72284766 30.26425121
-88.5739937 30.22916291
-88.5581032 30.2159079

-88.07133704 30.25233979
-88.15931617 30.23091991
-88.28972165 30.23293529
-88.31625749 30.24045421
-88.26393511 30.25471691
-88.1093709 30.27373383
-88.07133704 30.25233979

-81.41897824 30.97144318
-81.46349748 30.72776297
-81.48272112 30.81408845
-81.48463314 30.89783011
-81.45094011 30.94741364
-81.41897824 30.97144318

-118.35039324 32.82760895
-118.4085809 32.8185139
-118.47320228 32.83892609
-118.52890947 32.9356127
-118.59017188 33.01116364
-118.55709897 33.03266104
-118.50748959 32.95990062
-118.38318193 32.84946809
-118.35039324 32.82760895

-119.43802711 33.21719758
-119.48249468 33.21533723
-119.54367957 33.22461315
-119.57517636 33.2783308
-119.52512773 33.2820515
-119.47879981 33.27463593
-119.44205787 33.23244212
-119.43802711 33.21719758

-118.34796444 33.3857661
-118.29747657 33.31212718
-118.37023699 33.32122224
-118.44630469 33.31708812
-118.46935238 33.35713736
-118.49203834 33.41281871
-118.50733456 33.42700389
-118.5594244 33.43196483
-118.56332598 33.4370808
-118.56942379 33.46418509
-118.55485104 33.47707836
-118.39170854 33.41509247
-118.34796444 33.3857661

-120.04357154 33.91886018
-120.11390316 33.90485586
-120.16712989 33.91808503
-120.25190508 34.01384146
-120.07183855 34.02650218
-119.99440141 33.98492849
-119.98393694 33.97332713
-120.04357154 33.91886018

-120.30660458 34.02487438
-120.35970211 34.02226472
-120.44155758 34.0329359
-120.41292884 34.05631948
-120.3677378 34.07329519
-120.35332008 34.06058279
-120.30660458 34.02487438

-119.88239275 34.07967723
-119.67886512 34.02846589
-119.56913022 34.05296052
-119.54928647 34.02815583
-119.56220557 34.00660676
-119.80958065 33.96779776
-119.88551917 33.99492788
-119.89241798 34.03216075
-119.91804949 34.06784333
-119.88239275 34.07967723

-76.54622657 34.65486176
-76.56849911 34.65256216
