# Congo (Kinshasa)
# from http://www.rjruss.info/2010/12/free-countries-of-world-in-polygon-kml.html
18.01174849 1.42210989
18.05779219 1.53486787
18.07283003 1.71937857
18.07220991 2.01326244
18.21158125 2.41491751
18.34345951 2.65541962
18.49094404 2.92439545
18.54711633 3.08702119
18.62215051 3.30403636
18.6103166 3.47844432
18.5967257 3.6786905
18.63372603 3.95428091
18.61987674 4.11662242
18.56747684 4.25756989
18.59419356 4.34622081
18.69992354 4.38260102
18.83175012 4.52344514
19.06853153 4.89140717
19.32339969 5.07075023
19.50095991 5.12749095
19.68606489 5.12139313
19.80657433 5.08932791
19.86248823 5.03129527
20.00237634 4.94471141
20.22634199 4.829628
20.39351525 4.68617422
20.48648115 4.54153189
20.55810469 4.46269949
20.64745324 4.43562104
20.79297407 4.44729991
20.95575484 4.41311595
21.12556359 4.33219066
21.22974328 4.30221833
21.26839725 4.32309561
21.35020104 4.31136506
21.53763146 4.24480581
21.68697635 4.28139273
21.90815148 4.25390087
22.42212528 4.13494172
22.44966882 4.15512136
22.46181278 4.15974641
22.50563439 4.2076763
22.61720381 4.44556875
22.71166833 4.59176138
22.75574833 4.64669343
22.86457889 4.72387218
22.99289147 4.74387096
23.11588138 4.73692048
23.21882084 4.70296906
23.31292362 4.66353994
23.41715498 4.66312653
23.52360843 4.70128958
23.68178999 4.77082022
23.84844649 4.81634715
23.99169356 4.86626659
24.22769982 4.95385814
24.31978723 4.99416576
24.43709273 5.00997875
24.76549645 4.93008698
24.97840335 4.98295197
25.06521976 4.9674232
25.24934289 5.0245515
25.28313928 5.06268871
25.40013472 5.25590689
25.52508833 5.31213085
25.71391402 5.28370881
25.81995405 5.25371064
26.1735242 5.17115754
26.63256595 5.08521963
26.76754479 5.07193879
26.82206343 5.06237865
26.87007084 5.07565949
27.02060428 5.1843867
27.07181563 5.19973461
27.11496545 5.19784842
