# Meuse (Maas) catchment
4.800 50.592 6011000
4.808 50.592 6011000
4.808 50.600 6011000
4.833 50.600 6011000
4.833 50.608 6011000
4.850 50.608 6011000
4.850 50.617 6011000
4.883 50.617 6011000
4.883 50.625 6011000
4.908 50.625 6011000
4.908 50.633 6011000
4.950 50.633 6011000
4.950 50.642 6011000
5.008 50.642 6011000
5.008 50.633 6011000
5.017 50.633 6011000
5.017 50.642 6011000
5.050 50.642 6011000
5.050 50.650 6011000
5.058 50.650 6011000
5.058 50.642 6011000
5.083 50.642 6011000
5.083 50.650 6011000
5.117 50.650 6011000
5.117 50.658 6011000
5.125 50.658 6011000
5.125 50.675 6011000
5.133 50.675 6011000
5.133 50.683 6011000
5.150 50.683 6011000
5.150 50.692 6011000
5.158 50.692 6011000
5.158 50.700 6011000
5.167 50.700 6011000
5.167 50.717 6011000
5.175 50.717 6011000
5.175 50.725 6011000
5.225 50.725 6011000
5.225 50.717 6011000
5.250 50.717 6011000
5.250 50.725 6011000
5.292 50.725 6011000
5.292 50.733 6011000
5.342 50.733 6011000
5.342 50.742 6011000
5.367 50.742 6011000
5.367 50.750 6011000
5.408 50.750 6011000
5.408 50.758 6011000
5.417 50.758 6011000
5.417 50.767 6011000
5.433 50.767 6011000
5.433 50.775 6011000
5.442 50.775 6011000
5.442 50.783 6011000
5.458 50.783 6011000
5.458 50.792 6011000
5.550 50.792 6011000
5.550 50.783 6011000
5.558 50.783 6011000
5.558 50.842 6011000
5.567 50.842 6011000
5.567 50.850 6011000
5.583 50.850 6011000
5.583 50.858 6011000
5.592 50.858 6011000
5.592 50.892 6011000
5.600 50.892 6011000
5.600 50.900 6011000
5.608 50.900 6011000
5.608 50.958 6011000
5.592 50.958 6011000
5.592 50.975 6011000
5.575 50.975 6011000
5.575 50.983 6011000
5.567 50.983 6011000
5.567 50.992 6011000
5.558 50.992 6011000
5.558 51.017 6011000
5.550 51.017 6011000
5.550 51.042 6011000
5.542 51.042 6011000
5.542 51.050 6011000
5.492 51.050 6011000
5.492 51.042 6011000
5.467 51.042 6011000
5.467 51.033 6011000
5.450 51.033 6011000
5.450 51.050 6011000
5.417 51.050 6011000
5.417 51.058 6011000
5.408 51.058 6011000
5.408 51.067 6011000
5.400 51.067 6011000
5.400 51.075 6011000
5.392 51.075 6011000
5.392 51.083 6011000
5.383 51.083 6011000
5.383 51.100 6011000
5.375 51.100 6011000
5.375 51.108 6011000
5.367 51.108 6011000
5.367 51.175 6011000
5.358 51.175 6011000
5.358 51.167 6011000
5.350 51.167 6011000
5.350 51.175 6011000
5.342 51.175 6011000
5.342 51.200 6011000
5.308 51.200 6011000
5.308 51.217 6011000
5.292 51.217 6011000
5.292 51.225 6011000
5.283 51.225 6011000
5.283 51.242 6011000
5.267 51.242 6011000
5.267 51.250 6011000
5.250 51.250 6011000
5.250 51.258 6011000
5.242 51.258 6011000
5.242 51.275 6011000
5.225 51.275 6011000
5.225 51.283 6011000
